source;relationship;target
'Metropolitan Museum of Art';'has_possession_of';'Mask: Chameleon'
'Nuna or Ko peoples';'comes_from';'Mask: Chameleon'
'John J. Klejman';'has_possession_of';'Goat Mask (Je)'
'John J. Klejman';'sells';'Goat Mask (Je)'
'Nelson A. Rockefeller';'has_possession_of';'Goat Mask (Je)'
'Nelson A. Rockefeller';'sells';'Goat Mask (Je)'
'Metropolitan Museum of Art';'has_possession_of';'Goat Mask (Je)'
'Goat Mask (Je)';'comes_from';'Guro'
'John J. Klejman';'has_possession_of';'Staff: Equestrian Finial'
'Nelson A. Rockefeller';'has_possession_of';'Staff: Equestrian Finial'
'Metropolitan Museum of Art';'has_possession_of';'Staff: Equestrian Finial'
'Staff: Equestrian Finial';'comes_from';'Songo'
'John J. Klejman';'has_possession_of';'Drumstick'
'John J. Klejman';'sells';'Drumstick'
'Nelson A. Rockefeller';'has_possession_of';'Drumstick'
'Nelson A. Rockefeller';'sells';'Drumstick'
'Metropolitan Museum of Art';'has_possession_of';'Drumstick'
'Drumstick';'comes_from';'Inuit'
'John J. Klejman';'has_possession_of';'Standing Female Figure'
'Nelson A. Rockefeller';'has_possession_of';'Standing Female Figure'
'Metropolitan Museum of Art';'has_possession_of';'Standing Female Figure'
'Standing Female Figure';'comes_from';'Inuit'
'John J. Klejman';'has_possession_of';'Club | Fijian  Museum of Art'
'John J. Klejman';'sells';'Club | Fijian  Museum of Art'
'Nelson A. Rockefeller';'has_possession_of';'Club | Fijian  Museum of Art'
'Nelson A. Rockefeller';'sells';'Club | Fijian  Museum of Art'
'Metropolitan Museum of Art';'has_possession_of';'Club | Fijian  Museum of Art'
'Club | Fijian  Museum of Art';'comes_from';'Fijian'
'Throwing Club';'comes_from';'Fiji'
'Webster Plass';'has_possession_of';'Throwing Club'
'John Klejman';'obtains_from';'Webster Plass'
'Metropolitan Museum of Art';'has_possession_of';'Throwing Club'
'Dr. Jacques Viot';'has_possession_of';'House Post Figure'
'Dr. Jacques Viot';'obtains_from';'Lake Sentani, New Guinea'
'The Michael C. Rockefeller Memorial Collection';'has_possession_of';'House Post Figure'
'House Post Figure';'comes_from';'Sentani people'
'Metropolitan Museum of Art';'has_possession_of';'House Post Figure'
'John J. Klejman';'has_possession_of';'Club (Totokia)'
'John J. Klejman';'sells';'Club (Totokia)'
'Nelson A. Rockefeller';'has_possession_of';'Club (Totokia)'
'Nelson A. Rockefeller';'donates_to';'Metropolitan Museum of Art'
'Metropolitan Museum of Art';'has_possession_of';'Club (Totokia)'
'Webster Plass, London';'sells';'Club (Totokia)'
'John J. Klejman, New York';'obtains_from';'Webster Plass, London'
'John J. Klejman, New York';'sells';'Club (Totokia)'
'Metropolitan Museum of Art';'obtains_from';'John J. Klejman, New York'
'William O. Oldman';'sells';'Club (Gugu)'
'John J. Klejman';'sells';'Club (Gugu)'
'Metropolitan Museum of Art';'has_possession_of';'Club (Gugu)'
'William O. Oldman';'sells';'Club | Tongan  Museum of Art'
'John J. Klejman';'sells';'Club | Tongan  Museum of Art'
'Metropolitan Museum of Art';'has_possession_of';'Club | Tongan  Museum of Art'
'William O. Oldman';'sells';'Club'
'John J. Klejman';'sells';'Club'
'Metropolitan Museum of Art';'has_possession_of';'Club'
'Figure: Equestrian';'comes_from';'Dogon peoples'
'John J. Klejman';'has_possession_of';'Seated Figure (Nomoli)'
'Nelson A. Rockefeller';'has_possession_of';'Seated Figure (Nomoli)'
'The Michael C. Rockefeller Memorial Collection';'has_possession_of';'Seated Figure (Nomoli)'
'John J. Klejman';'has_possession_of';'Figure: Female | Dogon or Tellem peoples (?)'
'John J. Klejman';'sells';'Figure: Female | Dogon or Tellem peoples (?)'
'Nelson A. Rockefeller';'has_possession_of';'Figure: Female | Dogon or Tellem peoples (?)'
'Nelson A. Rockefeller';'sells';'Figure: Female | Dogon or Tellem peoples (?)'
'The Michael C. Rockefeller Memorial Collection';'has_possession_of';'Figure: Female | Dogon or Tellem peoples (?)'
'John J. Klejman';'has_possession_of';'Figure: Snake'
'John J. Klejman';'sells';'Figure: Snake'
'Nelson A. Rockefeller';'has_possession_of';'Figure: Snake'
'Metropolitan Museum of Art';'has_possession_of';'Figure: Snake'
'John J. Klejman';'has_possession_of';'Bell: Face | Lower Niger Bronze Industry'
'John J. Klejman';'sells';'Bell: Face | Lower Niger Bronze Industry'
'Nelson A. Rockefeller';'has_possession_of';'Bell: Face | Lower Niger Bronze Industry'
'Nelson A. Rockefeller';'sells';'Bell: Face | Lower Niger Bronze Industry'
'The Michael C. Rockefeller Memorial Collection';'has_possession_of';'Bell: Face | Lower Niger Bronze Industry'
'Metropolitan Museum of Art';'has_possession_of';'Bell: Face | Lower Niger Bronze Industry'
'John J. Klejman';'has_possession_of';'Headrest: Zoomorphic Heads'
'John J. Klejman';'sells';'Headrest: Zoomorphic Heads'
'Nelson A. Rockefeller';'has_possession_of';'Headrest: Zoomorphic Heads'
'Nelson A. Rockefeller';'sells';'Headrest: Zoomorphic Heads'
'The Michael C. Rockefeller Memorial Collection';'has_possession_of';'Headrest: Zoomorphic Heads'
'Headrest: Zoomorphic Heads';'comes_from';'Dogon peoples'
'John J. Klejman';'has_possession_of';'Stirrup Spout Bottle with Suckling Puma'
'Nelson A. Rockefeller';'has_possession_of';'Stirrup Spout Bottle with Suckling Puma'
'The Michael C. Rockefeller Memorial Collection';'has_possession_of';'Stirrup Spout Bottle with Suckling Puma'
'Stirrup Spout Bottle with Suckling Puma';'comes_from';'Chimú'
'John J. Klejman';'has_possession_of';'Male Figure on Stool (tunjo)'
'John J. Klejman';'sells';'Male Figure on Stool (tunjo)'
'Nelson A. Rockefeller';'has_possession_of';'Male Figure on Stool (tunjo)'
'Nelson A. Rockefeller';'sells';'Male Figure on Stool (tunjo)'
'Metropolitan Museum of Art';'has_possession_of';'Male Figure on Stool (tunjo)'
'Male Figure on Stool (tunjo)';'comes_from';'Muisca'
'Pendant with Bird';'comes_from';'Muisca'
'John J. Klejman';'has_possession_of';'Pendant with Bird'
'Nelson A. Rockefeller';'has_possession_of';'Pendant with Bird'
'Metropolitan Museum of Art';'has_possession_of';'Pendant with Bird'
'R. Duperrier';'donates_to';'Metropolitan Museum of Art'
'Altar Ring';'comes_from';'Yoruba peoples'
'Robert Duperrier';'has_possession_of';'Altar Ring'
'William O. Oldman';'has_possession_of';'Club | Southeast Australia'
'Mr. and Mrs. John J. Klejman';'has_possession_of';'Club | Southeast Australia'
'Metropolitan Museum of Art';'has_possession_of';'Club | Southeast Australia'
'Metropolitan Museum of Art';'obtains_from';'Mr. and Mrs. John J. Klejman'
'William O. Oldman';'has_possession_of';'Club'
'Mr. and Mrs. John J. Klejman';'has_possession_of';'Club'
'Club';'comes_from';'Lower Murray River region'
'John J. Klejman';'has_possession_of';'Drum'
'John J. Klejman';'sells';'Drum'
'Nelson A. Rockefeller';'has_possession_of';'Drum'
'Nelson A. Rockefeller';'sells';'Drum'
'Metropolitan Museum of Art';'has_possession_of';'Drum'
'Drum';'comes_from';'Gogodala people'
'John J. Klejman';'has_possession_of';'Male Figure (Tiki)'
'John J. Klejman';'sells';'Male Figure (Tiki)'
'Nelson A. Rockefeller';'has_possession_of';'Male Figure (Tiki)'
'The Michael C. Rockefeller Memorial Collection';'has_possession_of';'Male Figure (Tiki)'
'Metropolitan Museum of Art';'has_possession_of';'Male Figure (Tiki)'
'William O. Oldman';'sells';'Club'
'John J. Klejman';'obtains_from';'William O. Oldman'
'John J. Klejman';'sells';'Club'
'Metropolitan Museum of Art';'has_possession_of';'Club'
'William O. Oldman';'sells';'Club | Aoba Island'
'John J. Klejman';'sells';'Club | Aoba Island'
'Metropolitan Museum of Art';'has_possession_of';'Club | Aoba Island'
'John J. Klejman';'has_possession_of';'Male Figure'
'Metropolitan Museum of Art';'has_possession_of';'Male Figure'
'Male Figure';'comes_from';'Alamblak people'
'Mr. and Mrs. John J. Klejman';'has_possession_of';'Paddle | Massim people  Museum of Art'
'Metropolitan Museum of Art';'has_possession_of';'Paddle | Massim people  Museum of Art'
'Paddle | Massim people  Museum of Art';'comes_from';'Massim people'
'Metropolitan Museum of Art';'has_possession_of';'Overmodeled Skull'
'Overmodeled Skull';'comes_from';'Iatmul people'
'Overmodeled Skull';'comes_from';'Korrigane expedition'
'Korrigane expedition';'has_role';'Collector'
'Count Eric de Bisschop';'has_role';'Collector'
'John J. Klejman';'has_possession_of';'Mask (Kandimbong [?])'
'Nelson A. Rockefeller';'has_possession_of';'Mask (Kandimbong [?])'
'Metropolitan Museum of Art';'has_possession_of';'Mask (Kandimbong [?])'
'Mask (Kandimbong [?])';'comes_from';'Angoram people'
'Mr. and Mrs. John J. Klejman';'has_possession_of';'Necklace (Bakiha [?])'
'The Michael C. Rockefeller Memorial Collection';'has_possession_of';'Necklace (Bakiha [?])'
'Necklace (Bakiha [?])';'comes_from';'Santa Catalina or Santa Ana Island'
'The Michael C. Rockefeller Memorial Collection';'obtains_from';'Mr. and Mrs. John J. Klejman'
'Mr. and Mrs. John J. Klejman';'has_possession_of';'Necklace (Bakiha [?]) | New Georgia Island (?)'
'The Michael C. Rockefeller Memorial Collection';'has_possession_of';'Necklace (Bakiha [?]) | New Georgia Island (?)'
'Necklace (Bakiha [?]) | New Georgia Island (?)';'comes_from';'New Georgia Island'
'Mr. and Mrs. John J. Klejman';'has_possession_of';'Platter (Siye Kon)'
'Platter (Siye Kon)';'comes_from';'Ambrym Island (?)'
'Webster Plass, London';'sells';'Dance wand'
'Mr. and Mrs. John J. Klejman';'has_possession_of';'Dance wand'
'Metropolitan Museum of Art';'has_possession_of';'Dance wand'
'Dance wand';'comes_from';'Santa Cruz Islands'
'Cranmore Museum, Chiselhurst';'has_possession_of';'Pendant or Head Ornament (Kapkap)'
'The Michael C. Rockefeller Memorial Collection';'has_possession_of';'Pendant or Head Ornament (Kapkap)'
'Pendant or Head Ornament (Kapkap)';'comes_from';'Matankol'
'Metropolitan Museum of Art';'has_possession_of';'Shield | Mandaya, Moro (?) people'
'Mr. and Mrs. John J. Klejman';'has_possession_of';'Shield | Mandaya, Moro (?) people'
'John J. Klejman';'has_possession_of';'Canoe Prow Ornament (Mani)'
'John J. Klejman';'sells';'Canoe Prow Ornament (Mani)'
'Nelson A. Rockefeller';'has_possession_of';'Canoe Prow Ornament (Mani)'
'Nelson A. Rockefeller';'sells';'Canoe Prow Ornament (Mani)'
'The Michael C. Rockefeller Memorial Collection';'has_possession_of';'Canoe Prow Ornament (Mani)'
'Metropolitan Museum of Art';'has_possession_of';'Canoe Prow Ornament (Mani)'
'The Michael C. Rockefeller Memorial Collection';'has_possession_of';'Funerary Carving (Malagan)'
'Augustus Lane-Fox Pitt-Rivers';'has_possession_of';'Funerary Carving (Malagan)'
'Augustus Lane-Fox Pitt-Rivers';'comes_from';'Farnham, Dorset'
'Funerary Carving (Malagan)';'comes_from';'Northern New Ireland'
'Metropolitan Museum of Art';'has_possession_of';'Funerary Carving (Malagan)'
'John J. Klejman';'has_possession_of';'Ceremonial Flute (Manyan [?])'
'Nelson A. Rockefeller';'has_possession_of';'Ceremonial Flute (Manyan [?])'
'The Michael C. Rockefeller Memorial Collection';'has_possession_of';'Ceremonial Flute (Manyan [?])'
'Ceremonial Flute (Manyan [?])';'comes_from';'Sawos people'
'Mr. and Mrs. John J. Klejman';'has_possession_of';'String Bag (Bilum)'
'Metropolitan Museum of Art';'has_possession_of';'String Bag (Bilum)'
'String Bag (Bilum)';'comes_from';'Sawos people'
'Madeline Rousseau';'has_possession_of';'Grade Figure'
'J. Klejman';'obtains_from';'Madeline Rousseau'
'Metropolitan Museum of Art';'obtains_from';'J. Klejman'
'Metropolitan Museum of Art';'has_possession_of';'Grade Figure'
'Mr. and Mrs. John J. Klejman';'has_possession_of';'Barkcloth Panel (Maro)'
'Metropolitan Museum of Art';'has_possession_of';'Barkcloth Panel (Maro)'
'Barkcloth Panel (Maro)';'comes_from';'Sentani people'
'Mr. and Mrs. John J. Klejman';'donates_to';'Metropolitan Museum of Art'
'John J. Klejman';'sells';'Shield'
'Shield';'comes_from';'Elema people'
'Metropolitan Museum of Art';'has_possession_of';'Headrest'
'John J. Klejman';'obtains_from';'King Thakombau'
'William O. Oldman';'has_possession_of';'Dance Paddle (?)'
'John J. Klejman';'sells';'Dance Paddle (?)'
'The Michael C. Rockefeller Memorial Collection';'has_possession_of';'Dance Paddle (?)'
'Dance Paddle (?)';'comes_from';'Austral Islanders'
'Mr. and Mrs. John J. Klejman';'has_possession_of';'Comb with Feathers'
'Metropolitan Museum of Art';'has_possession_of';'Comb with Feathers'
'Comb with Feathers';'comes_from';'Carajá'
'The Michael C. Rockefeller Memorial Collection';'has_possession_of';'Pendant: Mask (Gikhokho)'
'Prof. Charles Gabriel Seligman';'has_possession_of';'Pendant: Mask (Gikhokho)'
'The Michael C. Rockefeller Memorial Collection';'obtains_from';'Prof. Charles Gabriel Seligman'
'Pendant: Mask (Gikhokho)';'comes_from';'Pende peoples'
'John J. Klejman';'has_possession_of';'Gong Mallet with Male Figure (Lawle)'
'John J. Klejman';'sells';'Gong Mallet with Male Figure (Lawle)'
'Metropolitan Museum of Art';'has_possession_of';'Gong Mallet with Male Figure (Lawle)'
'Gong Mallet with Male Figure (Lawle)';'comes_from';'Baule peoples'
'Mr. and Mrs. John J. Klejman';'has_possession_of';'Comb with Figure'
'Mr. and Mrs. John J. Klejman';'sells';'Comb with Figure'
'Comb with Figure';'comes_from';'Baule peoples'
'Metropolitan Museum of Art';'has_possession_of';'Comb with Figure'
'John J. Klejman';'sells';'Helmet Mask with Female Figure'
'Metropolitan Museum of Art';'has_possession_of';'Helmet Mask with Female Figure'
'Mr. and Mrs. John J. Klejman';'has_possession_of';'Twin Figurine'
'Metropolitan Museum of Art';'has_possession_of';'Twin Figurine'
'Twin Figurine';'comes_from';'Senufo or Tussian peoples'
'The Michael C. Rockefeller Memorial Collection';'has_possession_of';'Twin Figurine'
'Seated Male Figure';'comes_from';'Baule peoples'
'John J. Klejman';'has_possession_of';'Seated Male Figure'
'Nelson A. Rockefeller';'has_possession_of';'Seated Male Figure'
'Metropolitan Museum of Art';'has_possession_of';'Seated Male Figure'
'John J. Klejman';'has_possession_of';'Headdress'
'Nelson A. Rockefeller';'has_possession_of';'Headdress'
'Metropolitan Museum of Art';'has_possession_of';'Headdress'
'Headdress';'comes_from';'Senufo peoples'
'Mr. and Mrs. John J. Klejman';'has_possession_of';'Monkey Figure for Mbra'
'Metropolitan Museum of Art';'has_possession_of';'Monkey Figure for Mbra'
'Monkey Figure for Mbra';'comes_from';'Baule peoples'
'John J. Klejman';'makes_sale_to';'Metropolitan Museum of Art'
'Club';'comes_from';'Vanuatu'
'Edward Klejman';'has_possession_of';'Headdress: Ram'
'Metropolitan Museum of Art';'has_possession_of';'Headdress: Ram'
'Headdress: Ram';'comes_from';'Ejagham peoples'
'Metropolitan Museum of Art';'obtains_from';'Edward Klejman'
'Mr. and Mrs. John J. Klejman';'has_possession_of';'Staff: Male Figure'
'Staff: Male Figure';'comes_from';'Tiv peoples'
'Metropolitan Museum of Art';'has_possession_of';'Staff: Male Figure'
'Edward Klejman';'has_possession_of';'Helmet Mask (Nsua-Ndua)'
'John';'has_possession_of';'Helmet Mask (Nsua-Ndua)'
'Metropolitan Museum of Art';'has_possession_of';'Helmet Mask (Nsua-Ndua)'
'The Michael C. Rockefeller Memorial Collection';'has_possession_of';'Helmet Mask (Nsua-Ndua)'
'Helmet Mask (Nsua-Ndua)';'comes_from';'Mambila peoples'
'John J. Klejman';'has_possession_of';'Basket: Lidded | Democratic Republic of Congo'
'Anonymous donor';'donates_to';'The Michael C. Rockefeller Memorial Collection'
'Basket: Lidded | Democratic Republic of Congo';'comes_from';'Democratic Republic of Congo'
'Mr. and Mrs. John J. Klejman';'has_possession_of';'Bracelet | Nigeria (?)  Museum of Art'
'Metropolitan Museum of Art';'has_possession_of';'Bracelet | Nigeria (?)  Museum of Art'
'Bracelet | Nigeria (?)  Museum of Art';'comes_from';'Nigeria'
'John J. Klejman';'has_possession_of';'Headdress: Bird'
'John J. Klejman';'sells';'Headdress: Bird'
'Metropolitan Museum of Art';'has_possession_of';'Headdress: Bird'
'Headdress: Bird';'comes_from';'Ijo peoples'
'Mr. and Mrs. John J. Klejman';'has_possession_of';'Bwami Prestige Cap (Mukuba or Nkumbu)'
'Bwami Prestige Cap (Mukuba or Nkumbu)';'comes_from';'Lega peoples'
'The Michael C. Rockefeller Memorial Collection';'has_possession_of';'Bwami Prestige Cap (Mukuba or Nkumbu)'
'John J. Klejman';'has_possession_of';'Mask | Kota peoples, Mbete group'
'Metropolitan Museum of Art';'has_possession_of';'Mask | Kota peoples, Mbete group'
'Mask | Kota peoples, Mbete group';'comes_from';'Kota peoples, Mbete group'
'John J. Klejman';'has_possession_of';'Mask (Ntomo)'
'John J. Klejman';'sells';'Mask (Ntomo)'
'Nelson A. Rockefeller';'has_possession_of';'Mask (Ntomo)'
'Nelson A. Rockefeller';'sells';'Mask (Ntomo)'
'Metropolitan Museum of Art';'has_possession_of';'Mask (Ntomo)'
'Staff: Female Figure';'comes_from';'Bamana peoples'
'John J. Klejman';'has_possession_of';'Mask: Hornbill (Wan-rulugu)'
'Nelson A. Rockefeller';'has_possession_of';'Mask: Hornbill (Wan-rulugu)'
'The Michael C. Rockefeller Memorial Collection';'has_possession_of';'Mask: Hornbill (Wan-rulugu)'
'Metropolitan Museum of Art';'has_possession_of';'Mask: Hornbill (Wan-rulugu)'
'Mossi peoples';'comes_from';'Mask: Hornbill (Wan-rulugu)'
'John J. Klejman';'has_possession_of';'Plank Mask (Bayiri)'
'Nelson A. Rockefeller';'has_possession_of';'Plank Mask (Bayiri)'
'Metropolitan Museum of Art';'has_possession_of';'Plank Mask (Bayiri)'
'John J. Klejman';'has_possession_of';'Headdress and Shrine Figure (A-tshol)'
'John J. Klejman';'sells';'Headdress and Shrine Figure (A-tshol)'
'Nelson A. Rockefeller';'has_possession_of';'Headdress and Shrine Figure (A-tshol)'
'Nelson A. Rockefeller';'sells';'Headdress and Shrine Figure (A-tshol)'
'The Michael C. Rockefeller Memorial Collection';'has_possession_of';'Headdress and Shrine Figure (A-tshol)'
'Headdress and Shrine Figure (A-tshol)';'comes_from';'Baga peoples'
'John J. Klejman';'has_possession_of';'Mask: Rabbit (Dyommo)'
'John J. Klejman';'sells';'Mask: Rabbit (Dyommo)'
'Nelson A. Rockefeller';'has_possession_of';'Mask: Rabbit (Dyommo)'
'Nelson A. Rockefeller';'sells';'Mask: Rabbit (Dyommo)'
'Metropolitan Museum of Art';'has_possession_of';'Mask: Rabbit (Dyommo)'
'Mask: Rabbit (Dyommo)';'comes_from';'Dogon peoples'
'John J. Klejman';'has_possession_of';'Helmet Mask: Hyena (Suruku Koun)'
'John J. Klejman';'sells';'Helmet Mask: Hyena (Suruku Koun)'
'Nelson A. Rockefeller';'has_possession_of';'Helmet Mask: Hyena (Suruku Koun)'
'Nelson A. Rockefeller';'sells';'Helmet Mask: Hyena (Suruku Koun)'
'The Michael C. Rockefeller Memorial Collection';'has_possession_of';'Helmet Mask: Hyena (Suruku Koun)'
'Helmet Mask: Hyena (Suruku Koun)';'comes_from';'Malinke peoples'
'John J. Klejman';'has_possession_of';'Mask: Hornbill (Dyodyomini)'
"René d'Harnoncourt";'has_possession_of';'Mask: Hornbill (Dyodyomini)'
'The Michael C. Rockefeller Memorial Collection';'has_possession_of';'Mask: Hornbill (Dyodyomini)'
'Metropolitan Museum of Art';'has_possession_of';'Mask: Hornbill (Dyodyomini)'
'John J. Klejman';'has_possession_of';'Finial from a Slit gong'
'Metropolitan Museum of Art';'has_possession_of';'Finial from a Slit gong'
'Finial from a Slit gong';'comes_from';'Korewori River'
'William O. Oldman';'has_possession_of';'Parrying Shield'
'Mr. and Mrs. John J. Klejman';'has_possession_of';'Parrying Shield'
'The Michael C. Rockefeller Memorial Collection';'has_possession_of';'Parrying Shield'
'Parrying Shield';'comes_from';'Lower Murray River region'
'H. Lavachery';'has_possession_of';'Power Figure: Seated Female (Nkisi)'
'H. Lavachery';'sells';'Power Figure: Seated Female (Nkisi)'
'Klejman';'has_possession_of';'Power Figure: Seated Female (Nkisi)'
'Klejman';'sells';'Power Figure: Seated Female (Nkisi)'
'The Michael C. Rockefeller Memorial Collection';'has_possession_of';'Power Figure: Seated Female (Nkisi)'
'Metropolitan Museum of Art';'has_possession_of';'Power Figure: Seated Female (Nkisi)'
'Power Figure: Seated Female (Nkisi)';'comes_from';'Kusu peoples'
'Nelson A. Rockefeller';'has_possession_of';'Figure: Seated Female'
'The Michael C. Rockefeller Memorial Collection';'has_possession_of';'Figure: Seated Female'
'Figure: Seated Female';'comes_from';'Dogon peoples'
'John J. Klejman';'has_possession_of';'Door and Lock: Figures'
'John J. Klejman';'sells';'Door and Lock: Figures'
'Nelson A. Rockefeller';'has_possession_of';'Door and Lock: Figures'
'The Michael C. Rockefeller Memorial Collection';'has_possession_of';'Door and Lock: Figures'
'Plaque: Equestrian Oba and Attendants';'comes_from';'Court of Benin'
'Court of Benin';'has_possession_of';'Plaque: Equestrian Oba and Attendants'
'Court of Benin';'has_possession_of';'Royal Palace'
'The Michael C. Rockefeller Memorial Collection';'has_possession_of';'Plaque: Equestrian Oba and Attendants'
'Metropolitan Museum of Art';'has_possession_of';'Plaque: Equestrian Oba and Attendants'
'George D. Pratt';'donates_to';'Metropolitan Museum of Art'
'Lucerne Fine Art (Böhler)';'has_possession_of';'Portrait of a Bearded Man in White'
'Metropolitan Museum of Art';'has_possession_of';'Portrait of a Bearded Man in White'
'Portrait of a Bearded Man in White';'comes_from';'Lucerne Fine Art (Böhler)'
'Metropolitan Museum of Art';'has_possession_of';'Aesopic'
'Metropolitan Museum of Art';'purchases';'Aesopic'
'Metropolitan Museum of Art';'buys_from';'Michael Shamansky'
'Thomas Bewick';'has_role';'Artist'
'Harry G. Sperling Fund';'is_the_owner_of';'St. Gregory Reluctant to Accept His Election as Pope'
'Metropolitan Museum of Art';'has_possession_of';'St. Gregory Reluctant to Accept His Election as Pope'
'Carle (Charles André) Vanloo';'has_role';'Artist'
'Carle (Charles André) Vanloo';'has_possession_of';'St. Gregory Reluctant to Accept His Election as Pope'
'Brummer Gallery, Paris and New York';'has_possession_of';'Fragment | French  Museum of Art'
'Ernest Brummer';'has_possession_of';'Fragment | French  Museum of Art'
'Harry G. Sperling Fund';'is_the_owner_of';'St. Gregory Dictating His Homilies to a Secretary'
'Metropolitan Museum of Art';'has_possession_of';'St. Gregory Dictating His Homilies to a Secretary'
'Carle (Charles André) Vanloo';'has_possession_of';'St. Gregory Dictating His Homilies to a Secretary'
'John J. Klejman';'has_possession_of';'Double Crocodile Pendant'
'Alice K. Bache';'has_possession_of';'Double Crocodile Pendant'
'Alice K. Bache';'donates_to';'Metropolitan Museum of Art'
'Double Crocodile Pendant';'comes_from';'Coclé (Macaracas)'
'John J. Klejman';'has_possession_of';'Mask | Luba or Songye peoples'
'Mr. and Mrs. J. Gordon Douglas III';'has_possession_of';'Mask | Luba or Songye peoples'
'Mask | Luba or Songye peoples';'comes_from';'Luba or Songye peoples'
'Brummer Gallery, Paris and New York';'has_possession_of';'Glass Fragment'
'Ernest Brummer';'has_possession_of';'Glass Fragment'
'Metropolitan Museum of Art';'has_possession_of';'Glass Fragment'
'C. T. Loo';'has_possession_of';'The Clergy of Rome Paying Homage to St. Gregory the Great'
'Metropolitan Museum of Art';'has_possession_of';'The Clergy of Rome Paying Homage to St. Gregory the Great'
'Harry G. Sperling Fund';'purchases';'The Clergy of Rome Paying Homage to St. Gregory the Great'
'Carle (Charles André) Vanloo';'has_possession_of';'The Clergy of Rome Paying Homage to St. Gregory the Great'
'The Clergy of Rome Paying Homage to St. Gregory the Great';'comes_from';'Carle (Charles André) Vanloo'
'John J. Klejman';'sells';'Figure: Seated Male (Nommo)'
'Lester Wunderman';'purchases';'Figure: Seated Male (Nommo)'
'Lester Wunderman';'donates_to';'Metropolitan Museum of Art'
'Figure: Seated Male (Nommo)';'comes_from';'Dogon peoples'
'John J. Klejman';'has_possession_of';'Figure: Ostrich'
'Lester Wunderman';'has_possession_of';'Figure: Ostrich'
'Figure: Ostrich';'comes_from';'Dogon peoples'
'Glass Fragment';'comes_from';'French'
'Ella Brummer';'has_immediate_family_member';'Ernest Brummer'
'Glass Fragment';'comes_from';'Infancy of Christ window, Cathedral of Notre-Dame'
'Ernest Brummer';'is_the_owner_of';'Brummer Gallery, Paris and New York'
'John J. Klejman';'has_possession_of';'Gold Double-Headed Frog Ornament'
'Alice K. Bache';'has_possession_of';'Gold Double-Headed Frog Ornament'
'Gold Double-Headed Frog Ornament';'comes_from';'Chiriqui'
'Doris Wiener Gallery';'has_possession_of';'Celestial Performers: Folios from a Kalpasutra'
'Doris Wiener Gallery';'sells';'Celestial Performers: Folios from a Kalpasutra'
'Metropolitan Museum of Art';'purchases';'Celestial Performers: Folios from a Kalpasutra'
'Celestial Performers: Folios from a Kalpasutra';'comes_from';'India (Gujarat)'
'Federico Barocci';'has_role';'Artist'
'Head of a Bearded Man Looking to Lower Left';'comes_from';'Federico Barocci'
'Harry G. Sperling Fund';'has_possession_of';'Head of a Bearded Man Looking to Lower Left'
'Metropolitan Museum of Art';'has_possession_of';'Head of a Bearded Man Looking to Lower Left'
'Mr. Gorton';'has_possession_of';'Head of a Bearded Man Looking to Lower Left'
'Altar Ring';'comes_from';'Yoruba peoples, Ife group'
'Joseph and Margaret Knopfelmacher';'has_possession_of';'Altar Ring'
'Joseph and Margaret Knopfelmacher';'sells';'Altar Ring'
'Metropolitan Museum of Art';'purchases';'Altar Ring'
'Metropolitan Museum of Art';'buys_from';'Joseph and Margaret Knopfelmacher'
'Harry G. Sperling Fund';'donates_to';'Metropolitan Museum of Art'
'Jean-Baptiste Oudry';'has_role';'Artist'
'The Fox, the Flies, and the Hedgehog (La Fontaine, Fables, 1755)';'comes_from';'Jean-Baptiste Oudry'
'Metropolitan Museum of Art';'has_possession_of';'The Fox, the Flies, and the Hedgehog (La Fontaine, Fables, 1755)'
'Louis Olry-Roederer';'has_possession_of';'The Fox, the Flies, and the Hedgehog (La Fontaine, Fables, 1755)'
'Abraham Simon Wolf Rosenbach';'has_possession_of';'The Fox, the Flies, and the Hedgehog (La Fontaine, Fables, 1755)'
'Harry G. Sperling';'donates_to';'Metropolitan Museum of Art'
'Metropolitan Museum of Art';'has_possession_of';'Holy Family with Saint Anne'
'de Beer';'sells';'Holy Family with Saint Anne'
'de Beer';'makes_sale_to';'Harry G. Sperling'
'Metropolitan Museum of Art';'has_possession_of';'Teasing a Sleeping Girl'
'Edward Speelman';'sells';'Teasing a Sleeping Girl'
'Teasing a Sleeping Girl';'comes_from';'Gaspare Traversi'
'Metropolitan Museum of Art';'has_possession_of';'A Woman and Two Men in an Arbor'
'A Woman and Two Men in an Arbor';'comes_from';'Pieter de Hooch'
'David P. Sellar';'sells';'A Woman and Two Men in an Arbor'
'Christie’s, London';'obtains_from';'David P. Sellar'
'Metropolitan Museum of Art';'has_possession_of';'Abraham Dismissing Hagar and Ishmael'
'Barent Fabritius';'has_role';'Artist'
'Abraham Dismissing Hagar and Ishmael';'comes_from';'Barent Fabritius'
'Sir Joshua Reynolds';'has_possession_of';'Abraham Dismissing Hagar and Ishmael'
'Metropolitan Museum of Art';'has_possession_of';'Man with a Celestial Globe'
'Man with a Celestial Globe';'comes_from';'Nicolaes Eliasz Pickenoy'
'Man with a Celestial Globe';'comes_from';'Hon. Mrs. Ethel Mary Trollope, Crowcombe Court'
'Metropolitan Museum of Art';'has_possession_of';'Triumph of the Amazons'
'Galerie Marcus';'sells';'Triumph of the Amazons'
'Claude Déruet';'has_role';'Artist'
